1 3 4 
11 42 59 62
21 78 119 108
31 183 105 223
41 240 243 290
51 240 247 300
61 192 221 262
71 312 441 392
81 378 397 468
91 489 297 589
101 420 357 530
111 342 477 462
121 450 549 580
131 399 677 539
141 633 589 783
151 840 735 1000
161 882 887 1052
171 573 979 753
181 906 867 1096
191 927 1155 1127
201 1020 1127 1230
211 969 803 1189
221 942 1117 1172
231 855 1065 1095
241 891 765 1141
251 1449 1207 1709
261 1008 1387 1278
271 1014 957 1294
281 1278 1483 1568
291 1317 1601 1617
301 1662 1505 1972
311 1836 1325 2156
321 1638 1785 1968
331 1122 1321 1462
341 1545 1255 1895
351 1863 1579 2223
361 1308 1541 1678
371 2151 1873 2531
381 1170 1455 1560
391 1404 1481 1804
401 1584 1633 1994
411 1632 1699 2052
421 1299 2379 1729
431 2223 1183 2663
441 1776 2425 2226
451 1818 1127 2278
461 2244 2215 2714
471 2088 985 2568
481 2346 2249 2836
491 1590 2637 2090
501 1827 1297 2337
511 2007 1163 2527
521 1707 2449 2237
531 2901 2853 3441
541 2958 1245 3508
551 2322 2761 2882
561 2532 2659 3102
571 2217 3209 2797
581 3369 2479 3959
591 3159 2663 3759
601 2145 2595 2755
611 2133 3327 2753
621 2094 2287 2724
631 1998 2581 2638
641 2628 3683 3278
651 2859 2279 3519
661 3135 3523 3805
671 3021 3683 3701
681 3555 2045 4245
691 3888 3589 4588
701 2805 2781 3515
711 3045 3383 3765
721 3264 4003 3994
731 3969 3729 4709
741 4071 1561 4821
751 4116 3797 4876
761 3729 4239 4499
771 4434 3387 5214
781 3162 4075 3952
791 2529 3715 3329
801 2634 4131 3444
811 3624 4481 4444
821 2862 4525 3692
831 3525 4213 4365
841 3756 4587 4606
851 4923 3851 5783
861 3255 4307 4125
871 3849 4847 4729
881 3738 2947 4628
891 4191 3047 5091
901 3960 4845 4870
911 3636 3833 4556
921 5388 5175 6318
931 4209 4915 5149
941 3825 4945 4775
951 3321 5319 4281
961 3084 5165 4054
971 3651 5319 4631
981 5778 5483 6768
991 3795 3365 4795
1001 4650 5477 5660
1011 3747 5339 4767
1021 3693 2229 4723
1031 4095 5621 5135
1041 5973 5279 7023
1051 5199 4743 6259
1061 4848 5775 5918
1071 4353 5879 5433
1081 3282 5831 4372
1091 3864 5381 4964
1101 5598 3067 6708
1111 4209 4997 5329
1121 6708 6187 7838
1131 5478 2473 6618
1141 4782 5073 5932
1151 6495 4987 7655
1161 4470 6307 5640
1171 6150 6197 7330
1181 6411 3965 7601
1191 3759 6043 4959
1201 5022 5773 6232
1211 6084 4075 7304
1221 4824 6069 6054
1231 4134 6811 5374
1241 5721 6825 6971
1251 7104 6321 8364
1261 6087 4821 7357
1271 5508 6243 6788
1281 6426 6825 7716
1291 5097 7081 6397
1301 7746 5227 9056
1311 4638 6957 5958
1321 6777 7415 8107
1331 4158 7253 5498
1341 7824 6929 9174
1351 4296 3195 5656
1361 4455 7355 5825
1371 5922 7699 7302
1381 7485 6251 8875
1391 4341 7729 5741
1401 4956 5733 6366
1411 5043 6883 6463
1421 6258 7831 7688
1431 5316 6505 6756
1441 8406 6231 9856
1451 4374 8141 5834
1461 8052 5291 9522
1471 4473 8083 5953
1481 4521 7673 6011
1491 5634 6893 7134
1501 5205 8345 6715
1511 5835 5947 7355
1521 8604 8523 10134
1531 5034 6669 6574
1541 6372 8121 7922
1551 5883 8431 7443
1561 4956 7223 6526
1571 6963 8595 8543
1581 7857 7869 9447
1591 5817 3807 7417
1601 9273 8055 10883
1611 5025 7921 6645
1621 8403 7825 10033
1631 7341 7875 8981
1641 6303 9111 7953
1651 8757 7379 10417
1661 5856 5631 7526
1671 9849 4891 11529
1681 7527 9271 9217
1691 8730 7591 10430
1701 6147 8919 7857
1711 7923 8433 9643
1721 7893 8083 9623
1731 10149 8967 11889
1741 5649 9637 7399
1751 9195 9827 10955
1761 8175 9207 9957
1771 8154 9183 9934
1781 8403 9895 10193
1791 10626 6879 12426
1801 6246 8637 8056
1811 6480 3833 8300
1821 6882 10123 8712
1831 8772 9455 10612
1841 7188 9963 9038
1851 9228 8691 11088
1861 6813 10097 8683
1871 10728 9295 12608
1881 8583 9195 10473
1891 10563 10235 12463
1901 6942 10669 8852
1911 11388 10159 13308
1921 7530 10811 9460
1931 6558 10687 8498
1941 7584 10737 9534
1951 11148 10809 13108
1961 10650 10665 12620
1971 10167 9409 12147
1981 8556 5269 10546
1991 11502 11221 13502
2001 10875 10461 12885
2011 6810 10563 8830
2021 10296 10723 12326
2031 11925 9597 13965
2041 9576 11449 11626
2051 10839 8865 12899
2061 9738 11003 11808
2071 8691 9043 10771
2081 10428 9459 12518
2091 9786 5583 11886
2101 11514 6567 13624
2111 10158 9559 12278
2121 10458 10227 12588
2131 7434 9397 9574
2141 11799 10827 13949
2151 11157 8629 13317
2161 8670 10447 10840
2171 12312 11611 14492
2181 10023 11103 12213
2191 11016 10339 13216
2201 9822 12257 12032
2211 11106 12277 13326
2221 7317 10483 9547
2231 10002 11461 12242
2241 7959 12077 10209
2251 9147 6443 11407
2261 8271 11799 10541
2271 7470 7745 9750
2281 12315 11451 14605
2291 10632 11873 12932
2301 7641 7545 9951
2311 8868 8329 11188
2321 13227 12741 15557
2331 13899 10955 16239
2341 12372 12527 14722
2351 13674 13129 16034
2361 7698 10431 10068
2371 12522 13173 14902
2381 9138 12173 11528
2391 11145 13277 13545
2401 13860 12517 16270
2411 10443 13521 12863
2421 14322 12429 16752
2431 11538 9115 13978
2441 13629 12059 16079
2451 8463 13427 10923
2461 12063 13701 14533
2471 9594 13365 12074
2481 11256 13519 13746
2491 9141 11585 11641
2501 14856 5873 17366
2511 14376 6625 16896
2521 12579 8743 15109
2531 12567 8785 15107
2541 9018 6121 11568
2551 8139 13575 10699
2561 13833 14067 16403
2571 9096 12661 11676
2581 10764 7849 13354
2591 11763 13555 14363
2601 13785 8283 16395
2611 7872 14193 10492
2621 15252 8221 17882
2631 9618 14133 12258
2641 11487 8489 14137
2651 11652 11585 14312
2661 15570 7421 18240
2671 13341 13635 16021
2681 13722 6769 16412
2691 8718 14671 11418
2701 12627 11051 15337
2711 11181 14959 13901
2721 10182 11241 12912
2731 14688 13577 17428
2741 13278 12431 16028
2751 14850 15667 17610
2761 9735 15365 12505
2771 10575 11003 13355
2781 10737 14575 13527
2791 10593 14779 13393
2801 9546 12505 12356
2811 12810 12555 15630
2821 11991 15315 14821
2831 16773 15089 19613
2841 11106 13967 13956
2851 10500 14233 13360
2861 16995 15989 19865
2871 15978 7331 18858
2881 16743 7977 19633
2891 12069 15889 14969
2901 12213 15241 15123
2911 14805 16365 17725
2921 13689 12751 16619
2931 13077 8063 16017
2941 16680 12741 19630
2951 13740 16291 16700
2961 17580 10873 20550
2971 11037 16461 14017
2981 14352 12289 17342
2991 9750 14087 12750
3001 14415 13615 17425
3011 17646 16555 20666
3021 13788 16199 16818
3031 14916 16727 17956
3041 17220 17009 20270
3051 10179 14989 13239
3061 11814 14325 14884
3071 12006 16879 15086
3081 11451 7273 14541
3091 17244 13011 20344
3101 14331 15795 17441
3111 14382 17459 17502
3121 11541 8897 14671
3131 10713 17181 13853
3141 9903 17051 13053
3151 17799 17257 20959
3161 14880 14653 18050
3171 17829 15571 21009
3181 16635 15887 19825
3191 14904 12797 18104
3201 10569 16967 13779
3211 9870 7375 13090
3221 17502 15037 20732
3231 11139 11395 14379
3241 18375 17991 21625
3251 10188 14539 13448
3261 13815 10749 17085
3271 14409 16105 17689
3281 13167 13269 16457
3291 13233 18255 16533
3301 16986 16925 20296
3311 16371 11499 19691
3321 13281 11503 16611
3331 13365 11877 16705
3341 10197 17353 13547
3351 11688 16417 15048
3361 17520 17901 20890
3371 20127 17423 23507
3381 17478 15653 20868
3391 11142 14065 14542
3401 10428 16945 13838
3411 17883 19013 21303
3421 12126 14251 15556
3431 15198 18209 18638
3441 19398 17921 22848
3451 14898 16743 18358
3461 12393 12371 15863
3471 15081 15807 18561
3481 11742 16703 15232
3491 11820 19333 15320
3501 18933 19491 22443
3511 18837 13291 22357
3521 13536 19363 17066
3531 10875 18433 14415
3541 11991 19457 15541
3551 11988 16659 15548
3561 11964 18833 15534
3571 16518 17029 20098
3581 13773 15497 17363
3591 19659 8355 23259
3601 18507 19591 22117
3611 11787 10483 15407
3621 19623 20065 23253
3631 12897 19377 16537
3641 14772 17703 18422
3651 19650 15373 23310
3661 13677 19465 17347
3671 11598 20587 15278
3681 13947 18489 17637
3691 16905 19517 20605
3701 17916 19659 21626
3711 14169 19177 17889
3721 20397 20667 24127
3731 15525 15393 19265
3741 20607 21107 24357
3751 17889 18063 21649
3761 13467 18493 17237
3771 14973 16997 18753
3781 12465 16003 16255
3791 17973 21125 21773
3801 19878 20741 23688
3811 22500 18681 26320
3821 15480 21121 19310
